id,key,value,type
4704945,bicycle,designated,regular
4704945,foot,yes,regular
4704945,highway,cycleway,regular
4704945,name,Burke-Gilman Trail,regular
4704945,note,railway=abandone is rail-trail,regular
4704945,railway,abandoned,regular
4704945,segregated,no,regular
4704945,surface,paved,regular
4729866,bicycle,no,regular
4729866,destination,Woodinville;Redmond,regular
4729866,ref,WA 202 East,destination
4729866,highway,motorway_link,regular
4729866,lanes,1,regular
4729866,oneway,yes,regular
4729867,highway,secondary,regular
4729867,lanes,5,regular
4729867,backward,3,lanes
4729867,forward,2,lanes
4729867,name,132nd Avenue Northeast,regular
4729867,lanes:backward,left|left|through,turn
4729897,bicycle,yes,regular
4729897,destination,Woodinville;Redmond,regular
4729897,ref,WA 202 East,destination
4729897,street,132nd Avenue Northeast,destination
4729897,highway,motorway_link,regular
4729897,lanes,1,regular
4729897,oneway,yes,regular
4729900,highway,secondary,regular
4729900,maxspeed,25 mph,regular
4729900,name,Main Street,regular
4729900,cfcc,A41,tiger
4729900,county,"King, WA",tiger
4729900,name_base,Main,tiger
4752396,bicycle,no,regular
4752396,destination,Bothell;Woodinville,regular
4752396,ref,WA 522,destination
4752396,highway,motorway_link,regular
4752396,lanes,2,regular
4752396,oneway,yes,regular
4752445,bicycle,no,regular
4752445,highway,motorway,regular
4752445,lanes,2,regular
4752445,maxspeed,60 mph,regular
4752445,oneway,yes,regular
4752445,ref,WA 522,regular
4752452,bicycle,no,regular
4752452,destination,Bellevue;Renton;Everett,regular
4752452,ref,I 405,destination
4752452,highway,motorway_link,regular
4752452,oneway,yes,regular
4752453,bicycle,no,regular
4752453,bridge,yes,regular
4752453,destination,Bellevue;Renton,regular
4752453,ref,I 405 South,destination
4752453,highway,motorway_link,regular
4752453,layer,1,regular
4752453,oneway,yes,regular
4752457,bicycle,no,regular
4752457,bridge,yes,regular
4752457,destination,Everett,regular
4752457,ref,I 405 North,destination
4752457,highway,motorway_link,regular
4752457,layer,1,regular
4752457,oneway,yes,regular
4752458,bicycle,no,regular
4752458,bridge,yes,regular
4752458,destination,Woodinville,regular
4752458,ref,WA 522 East,destination
4752458,ref:to,US 2,destination
4752458,highway,motorway_link,regular
4752458,layer,1,regular
4752458,oneway,yes,regular
